Stock Name,MarketDate,MarketPrice
Car and General (K) Ltd Ord 5.00,27-Jul-20,22.5000
Car and General (K) Ltd Ord 5.00,28-Jul-20,22.5000
Safaricom Ltd Ord 0.05,28-Jul-20,28.3000
Nairobi Securities Exchange,28-Jul-20,6.8000
British American Tobacco Kenya Ltd Ord 10.00,28-Jul-20,316.7500
Nairobi Securities Exchange,29-Jul-20,6.7000
Safaricom Ltd Ord 0.05,29-Jul-20,28.3000
British American Tobacco Kenya Ltd Ord 10.00,29-Jul-20,323.5000
Car and General (K) Ltd Ord 5.00,29-Jul-20,22.5000
Nairobi Securities Exchange,30-Jul-20,6.8000
Car and General (K) Ltd Ord 5.00,30-Jul-20,22.5000
Safaricom Ltd Ord 0.05,30-Jul-20,28.1500
British American Tobacco Kenya Ltd Ord 10.00,30-Jul-20,328.0000
British American Tobacco Kenya Ltd Ord 10.00,03-Aug-20,316.7500
Car and General (K) Ltd Ord 5.00,03-Aug-20,22.5000
Safaricom Ltd Ord 0.05,03-Aug-20,26.8500
Nairobi Securities Exchange,03-Aug-20,6.8000
British American Tobacco Kenya Ltd Ord 10.00,04-Aug-20,328.0000
Nairobi Securities Exchange,04-Aug-20,6.7200
Car and General (K) Ltd Ord 5.00,04-Aug-20,22.5000
Safaricom Ltd Ord 0.05,04-Aug-20,26.4000
Safaricom Ltd Ord 0.05,05-Aug-20,26.1500
British American Tobacco Kenya Ltd Ord 10.00,05-Aug-20,320.2500
Car and General (K) Ltd Ord 5.00,05-Aug-20,22.5000
Nairobi Securities Exchange,05-Aug-20,6.7400
Car and General (K) Ltd Ord 5.00,06-Aug-20,22.5000
British American Tobacco Kenya Ltd Ord 10.00,06-Aug-20,317.7500
Safaricom Ltd Ord 0.05,06-Aug-20,27.4000
Nairobi Securities Exchange,06-Aug-20,6.7800
Nairobi Securities Exchange,07-Aug-20,6.7400
Car and General (K) Ltd Ord 5.00,07-Aug-20,22.5000
British American Tobacco Kenya Ltd Ord 10.00,07-Aug-20,322.5000
Safaricom Ltd Ord 0.05,07-Aug-20,27.7000
Nairobi Securities Exchange,11-Aug-20,6.6000
Car and General (K) Ltd Ord 5.00,11-Aug-20,22.5000
Safaricom Ltd Ord 0.05,11-Aug-20,27.5000
British American Tobacco Kenya Ltd Ord 10.00,11-Aug-20,329.0000
Car and General (K) Ltd Ord 5.00,12-Aug-20,22.5000
British American Tobacco Kenya Ltd Ord 10.00,12-Aug-20,329.0000
Safaricom Ltd Ord 0.05,12-Aug-20,27.9500
Nairobi Securities Exchange,12-Aug-20,6.5800
British American Tobacco Kenya Ltd Ord 10.00,13-Aug-20,325.2500
Nairobi Securities Exchange,13-Aug-20,6.7000
Safaricom Ltd Ord 0.05,13-Aug-20,27.8500
Car and General (K) Ltd Ord 5.00,13-Aug-20,21.0000
British American Tobacco Kenya Ltd Ord 10.00,14-Aug-20,328.0000
Car and General (K) Ltd Ord 5.00,14-Aug-20,21.0500
Safaricom Ltd Ord 0.05,14-Aug-20,27.7000
Nairobi Securities Exchange,14-Aug-20,6.7800
Car and General (K) Ltd Ord 5.00,17-Aug-20,23.1000
Nairobi Securities Exchange,17-Aug-20,6.7800
Safaricom Ltd Ord 0.05,17-Aug-20,28.4000
British American Tobacco Kenya Ltd Ord 10.00,17-Aug-20,329.0000
British American Tobacco Kenya Ltd Ord 10.00,18-Aug-20,325.2500
Nairobi Securities Exchange,18-Aug-20,6.5800
Safaricom Ltd Ord 0.05,18-Aug-20,28.0000
Car and General (K) Ltd Ord 5.00,18-Aug-20,23.1000
Nairobi Securities Exchange,19-Aug-20,6.7400
Car and General (K) Ltd Ord 5.00,19-Aug-20,23.1000
Safaricom Ltd Ord 0.05,19-Aug-20,28.0000
British American Tobacco Kenya Ltd Ord 10.00,19-Aug-20,325.0000
Safaricom Ltd Ord 0.05,20-Aug-20,28.0500
Nairobi Securities Exchange,20-Aug-20,6.7600
British American Tobacco Kenya Ltd Ord 10.00,20-Aug-20,325.0000
Car and General (K) Ltd Ord 5.00,20-Aug-20,23.1000
British American Tobacco Kenya Ltd Ord 10.00,21-Aug-20,319.7500
Car and General (K) Ltd Ord 5.00,21-Aug-20,23.1000
Nairobi Securities Exchange,21-Aug-20,6.7400
Safaricom Ltd Ord 0.05,21-Aug-20,28.2000
Safaricom Ltd Ord 0.05,24-Aug-20,28.2000
Nairobi Securities Exchange,24-Aug-20,7.0400
British American Tobacco Kenya Ltd Ord 10.00,24-Aug-20,319.7500
Car and General (K) Ltd Ord 5.00,24-Aug-20,23.1000
Nairobi Securities Exchange,25-Aug-20,7.0000
Car and General (K) Ltd Ord 5.00,25-Aug-20,23.1000
British American Tobacco Kenya Ltd Ord 10.00,25-Aug-20,318.7500
Safaricom Ltd Ord 0.05,25-Aug-20,28.6500
Safaricom Ltd Ord 0.05,26-Aug-20,29.0000
British American Tobacco Kenya Ltd Ord 10.00,26-Aug-20,319.7500
Nairobi Securities Exchange,26-Aug-20,6.9800
Car and General (K) Ltd Ord 5.00,26-Aug-20,23.1000
Safaricom Ltd Ord 0.05,27-Aug-20,29.4500
British American Tobacco Kenya Ltd Ord 10.00,27-Aug-20,320.2500
Nairobi Securities Exchange,27-Aug-20,7.0000
Car and General (K) Ltd Ord 5.00,27-Aug-20,23.1500
Safaricom Ltd Ord 0.05,28-Aug-20,29.8500
Nairobi Securities Exchange,28-Aug-20,7.4400
British American Tobacco Kenya Ltd Ord 10.00,28-Aug-20,322.7500
Car and General (K) Ltd Ord 5.00,28-Aug-20,23.1500
Car and General (K) Ltd Ord 5.00,31-Aug-20,23.1500
Nairobi Securities Exchange,31-Aug-20,7.6200
British American Tobacco Kenya Ltd Ord 10.00,31-Aug-20,323.0000
Safaricom Ltd Ord 0.05,31-Aug-20,29.9000
Car and General (K) Ltd Ord 5.00,01-Sep-20,23.1500
British American Tobacco Kenya Ltd Ord 10.00,01-Sep-20,323.0000
Safaricom Ltd Ord 0.05,01-Sep-20,29.9000
Nairobi Securities Exchange,01-Sep-20,7.8000
British American Tobacco Kenya Ltd Ord 10.00,03-Sep-20,331.5000
Car and General (K) Ltd Ord 5.00,03-Sep-20,23.1500
Nairobi Securities Exchange,03-Sep-20,8.1000
Safaricom Ltd Ord 0.05,03-Sep-20,30.0500
Car and General (K) Ltd Ord 5.00,04-Sep-20,23.3500
British American Tobacco Kenya Ltd Ord 10.00,04-Sep-20,328.5000
Safaricom Ltd Ord 0.05,04-Sep-20,29.6000
Nairobi Securities Exchange,04-Sep-20,8.0000
Car and General (K) Ltd Ord 5.00,07-Sep-20,23.2500
Nairobi Securities Exchange,07-Sep-20,8.0600
British American Tobacco Kenya Ltd Ord 10.00,07-Sep-20,328.5000
Safaricom Ltd Ord 0.05,07-Sep-20,29.0500
Car and General (K) Ltd Ord 5.00,08-Sep-20,22.5500
British American Tobacco Kenya Ltd Ord 10.00,08-Sep-20,331.0000
Safaricom Ltd Ord 0.05,08-Sep-20,29.0000
Nairobi Securities Exchange,08-Sep-20,8.5000
British American Tobacco Kenya Ltd Ord 10.00,09-Sep-20,330.0000
Nairobi Securities Exchange,09-Sep-20,8.2800
Car and General (K) Ltd Ord 5.00,09-Sep-20,22.5500
Safaricom Ltd Ord 0.05,09-Sep-20,29.0500
Nairobi Securities Exchange,10-Sep-20,8.8200
Car and General (K) Ltd Ord 5.00,10-Sep-20,22.5500
British American Tobacco Kenya Ltd Ord 10.00,10-Sep-20,329.5000
Safaricom Ltd Ord 0.05,10-Sep-20,29.9500
Car and General (K) Ltd Ord 5.00,11-Sep-20,23.4500
British American Tobacco Kenya Ltd Ord 10.00,11-Sep-20,329.5000
Safaricom Ltd Ord 0.05,11-Sep-20,30.0500
Nairobi Securities Exchange,11-Sep-20,8.7800
Safaricom Ltd Ord 0.05,14-Sep-20,29.9500
Car and General (K) Ltd Ord 5.00,14-Sep-20,22.3000
Nairobi Securities Exchange,14-Sep-20,8.8000
British American Tobacco Kenya Ltd Ord 10.00,14-Sep-20,329.0000
Car and General (K) Ltd Ord 5.00,15-Sep-20,22.3000
Nairobi Securities Exchange,15-Sep-20,8.8000
British American Tobacco Kenya Ltd Ord 10.00,15-Sep-20,331.0000
Safaricom Ltd Ord 0.05,15-Sep-20,30.1500
Nairobi Securities Exchange,16-Sep-20,8.8000
Safaricom Ltd Ord 0.05,16-Sep-20,30.1000
British American Tobacco Kenya Ltd Ord 10.00,16-Sep-20,331.0000
Car and General (K) Ltd Ord 5.00,16-Sep-20,22.3000
British American Tobacco Kenya Ltd Ord 10.00,17-Sep-20,332.0000
Car and General (K) Ltd Ord 5.00,17-Sep-20,22.3500
Nairobi Securities Exchange,17-Sep-20,8.8000
Safaricom Ltd Ord 0.05,17-Sep-20,30.0000
Car and General (K) Ltd Ord 5.00,18-Sep-20,22.3500
British American Tobacco Kenya Ltd Ord 10.00,18-Sep-20,333.5000
Safaricom Ltd Ord 0.05,18-Sep-20,30.0000
Nairobi Securities Exchange,18-Sep-20,8.6600
British American Tobacco Kenya Ltd Ord 10.00,21-Sep-20,332.5000
Safaricom Ltd Ord 0.05,21-Sep-20,29.9000
Car and General (K) Ltd Ord 5.00,21-Sep-20,22.3500
Nairobi Securities Exchange,21-Sep-20,8.5400
Car and General (K) Ltd Ord 5.00,22-Sep-20,22.3500
Safaricom Ltd Ord 0.05,22-Sep-20,30.0500
Nairobi Securities Exchange,22-Sep-20,8.2200
British American Tobacco Kenya Ltd Ord 10.00,22-Sep-20,340.0000
Car and General (K) Ltd Ord 5.00,23-Sep-20,22.4000
Safaricom Ltd Ord 0.05,23-Sep-20,30.0000
Nairobi Securities Exchange,23-Sep-20,8.5000
British American Tobacco Kenya Ltd Ord 10.00,23-Sep-20,340.5000
Car and General (K) Ltd Ord 5.00,24-Sep-20,22.4000
British American Tobacco Kenya Ltd Ord 10.00,24-Sep-20,343.2500
Safaricom Ltd Ord 0.05,24-Sep-20,30.0000
Nairobi Securities Exchange,24-Sep-20,8.1800
Safaricom Ltd Ord 0.05,25-Sep-20,30.0500
Nairobi Securities Exchange,25-Sep-20,8.3600
British American Tobacco Kenya Ltd Ord 10.00,25-Sep-20,355.0000
Car and General (K) Ltd Ord 5.00,25-Sep-20,22.4000
Safaricom Ltd Ord 0.05,28-Sep-20,29.8000
British American Tobacco Kenya Ltd Ord 10.00,28-Sep-20,351.2500
Car and General (K) Ltd Ord 5.00,28-Sep-20,22.4000
Nairobi Securities Exchange,28-Sep-20,8.4000
Safaricom Ltd Ord 0.05,29-Sep-20,29.8000
Nairobi Securities Exchange,29-Sep-20,8.3400
Car and General (K) Ltd Ord 5.00,29-Sep-20,22.3500
British American Tobacco Kenya Ltd Ord 10.00,29-Sep-20,349.7500
British American Tobacco Kenya Ltd Ord 10.00,30-Sep-20,348.0000
Nairobi Securities Exchange,30-Sep-20,8.6400
Safaricom Ltd Ord 0.05,30-Sep-20,29.7000
Car and General (K) Ltd Ord 5.00,30-Sep-20,22.3000
Nairobi Securities Exchange,02-Oct-20,8.4800
Safaricom Ltd Ord 0.05,02-Oct-20,30.0000
Car and General (K) Ltd Ord 5.00,02-Oct-20,22.3000
British American Tobacco Kenya Ltd Ord 10.00,02-Oct-20,355.7500
Nairobi Securities Exchange,05-Oct-20,8.4000
Car and General (K) Ltd Ord 5.00,05-Oct-20,22.3000
Safaricom Ltd Ord 0.05,05-Oct-20,30.0000
British American Tobacco Kenya Ltd Ord 10.00,05-Oct-20,359.7500
Safaricom Ltd Ord 0.05,06-Oct-20,29.9500
British American Tobacco Kenya Ltd Ord 10.00,06-Oct-20,360.0000
Nairobi Securities Exchange,06-Oct-20,8.4800
Car and General (K) Ltd Ord 5.00,06-Oct-20,22.3000
British American Tobacco Kenya Ltd Ord 10.00,07-Oct-20,357.5000
Safaricom Ltd Ord 0.05,07-Oct-20,30.5000
Car and General (K) Ltd Ord 5.00,07-Oct-20,22.5000
Nairobi Securities Exchange,07-Oct-20,8.4000
Safaricom Ltd Ord 0.05,08-Oct-20,30.0500
British American Tobacco Kenya Ltd Ord 10.00,08-Oct-20,350.0000
Car and General (K) Ltd Ord 5.00,08-Oct-20,22.5000
Nairobi Securities Exchange,08-Oct-20,8.3800
British American Tobacco Kenya Ltd Ord 10.00,09-Oct-20,345.0000
Safaricom Ltd Ord 0.05,09-Oct-20,30.1000
Car and General (K) Ltd Ord 5.00,09-Oct-20,22.5000
Nairobi Securities Exchange,09-Oct-20,8.4800
Nairobi Securities Exchange,12-Oct-20,8.6800
Car and General (K) Ltd Ord 5.00,12-Oct-20,22.5000
Safaricom Ltd Ord 0.05,12-Oct-20,30.0500
British American Tobacco Kenya Ltd Ord 10.00,12-Oct-20,345.0000
Safaricom Ltd Ord 0.05,13-Oct-20,30.1500
Car and General (K) Ltd Ord 5.00,13-Oct-20,24.0000
Nairobi Securities Exchange,13-Oct-20,8.5000
British American Tobacco Kenya Ltd Ord 10.00,13-Oct-20,335.5000
Safaricom Ltd Ord 0.05,14-Oct-20,30.1000
Car and General (K) Ltd Ord 5.00,14-Oct-20,24.0000
British American Tobacco Kenya Ltd Ord 10.00,14-Oct-20,340.0000
Nairobi Securities Exchange,14-Oct-20,8.2800
Safaricom Ltd Ord 0.05,15-Oct-20,30.0500
British American Tobacco Kenya Ltd Ord 10.00,15-Oct-20,336.0000
Nairobi Securities Exchange,15-Oct-20,8.4200
Car and General (K) Ltd Ord 5.00,15-Oct-20,24.0000
Nairobi Securities Exchange,16-Oct-20,8.2800
Safaricom Ltd Ord 0.05,16-Oct-20,30.1000
British American Tobacco Kenya Ltd Ord 10.00,16-Oct-20,349.0000
Car and General (K) Ltd Ord 5.00,16-Oct-20,24.0000
Safaricom Ltd Ord 0.05,19-Oct-20,30.1000
British American Tobacco Kenya Ltd Ord 10.00,19-Oct-20,350.0000
Nairobi Securities Exchange,19-Oct-20,8.1000
Car and General (K) Ltd Ord 5.00,19-Oct-20,24.0000
Car and General (K) Ltd Ord 5.00,21-Oct-20,25.0000
Nairobi Securities Exchange,21-Oct-20,8.4400
British American Tobacco Kenya Ltd Ord 10.00,21-Oct-20,349.2500
Safaricom Ltd Ord 0.05,21-Oct-20,30.2500
Nairobi Securities Exchange,22-Oct-20,8.4000
Car and General (K) Ltd Ord 5.00,22-Oct-20,25.0000
British American Tobacco Kenya Ltd Ord 10.00,22-Oct-20,349.2500
Safaricom Ltd Ord 0.05,22-Oct-20,30.6500
Car and General (K) Ltd Ord 5.00,23-Oct-20,25.0000
Safaricom Ltd Ord 0.05,23-Oct-20,30.9500
British American Tobacco Kenya Ltd Ord 10.00,23-Oct-20,349.2500
Nairobi Securities Exchange,23-Oct-20,8.1400
British American Tobacco Kenya Ltd Ord 10.00,26-Oct-20,350.0000
Nairobi Securities Exchange,26-Oct-20,8.1000
Safaricom Ltd Ord 0.05,26-Oct-20,30.5000
Car and General (K) Ltd Ord 5.00,26-Oct-20,25.0000
Nairobi Securities Exchange,27-Oct-20,8.0000
British American Tobacco Kenya Ltd Ord 10.00,27-Oct-20,350.0000
Safaricom Ltd Ord 0.05,27-Oct-20,30.6000
Car and General (K) Ltd Ord 5.00,27-Oct-20,25.0000
Nairobi Securities Exchange,28-Oct-20,8.0600
British American Tobacco Kenya Ltd Ord 10.00,28-Oct-20,350.0000
Car and General (K) Ltd Ord 5.00,28-Oct-20,23.7500
Safaricom Ltd Ord 0.05,28-Oct-20,30.6000
Safaricom Ltd Ord 0.05,29-Oct-20,30.5000
Nairobi Securities Exchange,29-Oct-20,8.0200
British American Tobacco Kenya Ltd Ord 10.00,29-Oct-20,342.0000
Car and General (K) Ltd Ord 5.00,29-Oct-20,23.7500
British American Tobacco Kenya Ltd Ord 10.00,30-Oct-20,342.0000
Car and General (K) Ltd Ord 5.00,30-Oct-20,23.7500
Nairobi Securities Exchange,30-Oct-20,8.2600
Safaricom Ltd Ord 0.05,30-Oct-20,30.8500
Nairobi Securities Exchange,02-Nov-20,8.0200
British American Tobacco Kenya Ltd Ord 10.00,02-Nov-20,336.0000
Safaricom Ltd Ord 0.05,02-Nov-20,31.2500
Car and General (K) Ltd Ord 5.00,02-Nov-20,25.0000
Safaricom Ltd Ord 0.05,03-Nov-20,31.2500
Car and General (K) Ltd Ord 5.00,03-Nov-20,25.0000
Nairobi Securities Exchange,03-Nov-20,7.5400
British American Tobacco Kenya Ltd Ord 10.00,03-Nov-20,336.0000
British American Tobacco Kenya Ltd Ord 10.00,04-Nov-20,345.0000
Car and General (K) Ltd Ord 5.00,04-Nov-20,22.5000
Nairobi Securities Exchange,04-Nov-20,7.4000
Safaricom Ltd Ord 0.05,04-Nov-20,31.1500
British American Tobacco Kenya Ltd Ord 10.00,05-Nov-20,350.0000
Nairobi Securities Exchange,05-Nov-20,8.0000
Car and General (K) Ltd Ord 5.00,05-Nov-20,22.5000
Safaricom Ltd Ord 0.05,05-Nov-20,31.2500
Car and General (K) Ltd Ord 5.00,06-Nov-20,22.5000
Safaricom Ltd Ord 0.05,06-Nov-20,31.3000
British American Tobacco Kenya Ltd Ord 10.00,06-Nov-20,350.0000
Nairobi Securities Exchange,06-Nov-20,7.7600
British American Tobacco Kenya Ltd Ord 10.00,09-Nov-20,336.0000
Nairobi Securities Exchange,09-Nov-20,8.1800
Safaricom Ltd Ord 0.05,09-Nov-20,30.7500
Car and General (K) Ltd Ord 5.00,09-Nov-20,22.5000
Safaricom Ltd Ord 0.05,10-Nov-20,30.9500
Nairobi Securities Exchange,10-Nov-20,7.8200
Car and General (K) Ltd Ord 5.00,10-Nov-20,23.0000
British American Tobacco Kenya Ltd Ord 10.00,10-Nov-20,350.0000
Safaricom Ltd Ord 0.05,11-Nov-20,31.8000
Car and General (K) Ltd Ord 5.00,11-Nov-20,22.0000
Nairobi Securities Exchange,11-Nov-20,7.8200
British American Tobacco Kenya Ltd Ord 10.00,11-Nov-20,364.0000
British American Tobacco Kenya Ltd Ord 10.00,13-Nov-20,365.0000
Car and General (K) Ltd Ord 5.00,13-Nov-20,21.8000
Nairobi Securities Exchange,13-Nov-20,7.9000
Safaricom Ltd Ord 0.05,13-Nov-20,31.8000
British American Tobacco Kenya Ltd Ord 10.00,16-Nov-20,365.0000
Safaricom Ltd Ord 0.05,16-Nov-20,32.1000
Nairobi Securities Exchange,16-Nov-20,8.0000
Car and General (K) Ltd Ord 5.00,16-Nov-20,21.8000
Car and General (K) Ltd Ord 5.00,17-Nov-20,21.8000
British American Tobacco Kenya Ltd Ord 10.00,17-Nov-20,365.0000
Nairobi Securities Exchange,17-Nov-20,8.0000
Safaricom Ltd Ord 0.05,17-Nov-20,32.0500
Nairobi Securities Exchange,18-Nov-20,8.0000
Car and General (K) Ltd Ord 5.00,18-Nov-20,21.8000
Safaricom Ltd Ord 0.05,18-Nov-20,31.9500
British American Tobacco Kenya Ltd Ord 10.00,18-Nov-20,369.0000
Safaricom Ltd Ord 0.05,19-Nov-20,31.4500
Nairobi Securities Exchange,19-Nov-20,8.0200
Car and General (K) Ltd Ord 5.00,19-Nov-20,21.8000
British American Tobacco Kenya Ltd Ord 10.00,19-Nov-20,369.7500
Safaricom Ltd Ord 0.05,20-Nov-20,32.0000
Car and General (K) Ltd Ord 5.00,20-Nov-20,21.8000
Nairobi Securities Exchange,20-Nov-20,8.1200
British American Tobacco Kenya Ltd Ord 10.00,20-Nov-20,370.0000
Car and General (K) Ltd Ord 5.00,23-Nov-20,21.6000
Nairobi Securities Exchange,23-Nov-20,8.0000
British American Tobacco Kenya Ltd Ord 10.00,23-Nov-20,370.0000
Safaricom Ltd Ord 0.05,23-Nov-20,32.0000
British American Tobacco Kenya Ltd Ord 10.00,24-Nov-20,370.0000
Nairobi Securities Exchange,24-Nov-20,8.0000
Car and General (K) Ltd Ord 5.00,24-Nov-20,21.6000
Safaricom Ltd Ord 0.05,24-Nov-20,31.7000
British American Tobacco Kenya Ltd Ord 10.00,25-Nov-20,370.0000
Nairobi Securities Exchange,25-Nov-20,8.0000
Car and General (K) Ltd Ord 5.00,25-Nov-20,21.6000
Safaricom Ltd Ord 0.05,25-Nov-20,32.0000
Safaricom Ltd Ord 0.05,26-Nov-20,32.0000
Nairobi Securities Exchange,26-Nov-20,8.0400
Car and General (K) Ltd Ord 5.00,26-Nov-20,22.5000
British American Tobacco Kenya Ltd Ord 10.00,26-Nov-20,371.5000
Nairobi Securities Exchange,27-Nov-20,8.0000
Car and General (K) Ltd Ord 5.00,27-Nov-20,22.5000
British American Tobacco Kenya Ltd Ord 10.00,27-Nov-20,372.0000
Safaricom Ltd Ord 0.05,27-Nov-20,31.9000
Car and General (K) Ltd Ord 5.00,30-Nov-20,22.5000
Nairobi Securities Exchange,30-Nov-20,8.0000
Safaricom Ltd Ord 0.05,30-Nov-20,32.7000
British American Tobacco Kenya Ltd Ord 10.00,30-Nov-20,372.0000
Car and General (K) Ltd Ord 5.00,01-Dec-20,22.5000
British American Tobacco Kenya Ltd Ord 10.00,01-Dec-20,375.0000
Safaricom Ltd Ord 0.05,01-Dec-20,32.3000
Nairobi Securities Exchange,01-Dec-20,8.0000
Car and General (K) Ltd Ord 5.00,02-Dec-20,22.5000
British American Tobacco Kenya Ltd Ord 10.00,02-Dec-20,380.0000
Nairobi Securities Exchange,02-Dec-20,8.0000
Safaricom Ltd Ord 0.05,02-Dec-20,32.9500
Car and General (K) Ltd Ord 5.00,03-Dec-20,22.0000
British American Tobacco Kenya Ltd Ord 10.00,03-Dec-20,380.5000
Nairobi Securities Exchange,03-Dec-20,8.0800
Safaricom Ltd Ord 0.05,03-Dec-20,33.0000
Car and General (K) Ltd Ord 5.00,04-Dec-20,22.0000
Safaricom Ltd Ord 0.05,04-Dec-20,33.5000
British American Tobacco Kenya Ltd Ord 10.00,04-Dec-20,400.0000
Nairobi Securities Exchange,04-Dec-20,8.1400
British American Tobacco Kenya Ltd Ord 10.00,07-Dec-20,390.2500
Nairobi Securities Exchange,07-Dec-20,7.9600
Car and General (K) Ltd Ord 5.00,07-Dec-20,22.0000
Safaricom Ltd Ord 0.05,07-Dec-20,33.0000
Car and General (K) Ltd Ord 5.00,08-Dec-20,22.0000
British American Tobacco Kenya Ltd Ord 10.00,08-Dec-20,388.7500
Safaricom Ltd Ord 0.05,08-Dec-20,33.0000
Nairobi Securities Exchange,08-Dec-20,8.0000
Car and General (K) Ltd Ord 5.00,09-Dec-20,22.0000
Safaricom Ltd Ord 0.05,09-Dec-20,32.9500
British American Tobacco Kenya Ltd Ord 10.00,09-Dec-20,388.7500
Nairobi Securities Exchange,09-Dec-20,8.0200
Safaricom Ltd Ord 0.05,10-Dec-20,32.6500
British American Tobacco Kenya Ltd Ord 10.00,10-Dec-20,390.5000
Car and General (K) Ltd Ord 5.00,10-Dec-20,22.0000
Nairobi Securities Exchange,10-Dec-20,8.1000
Car and General (K) Ltd Ord 5.00,11-Dec-20,23.0000
British American Tobacco Kenya Ltd Ord 10.00,11-Dec-20,390.0000
Safaricom Ltd Ord 0.05,11-Dec-20,32.9500
Nairobi Securities Exchange,11-Dec-20,8.1800
Safaricom Ltd Ord 0.05,14-Dec-20,33.1500
Nairobi Securities Exchange,14-Dec-20,8.0200
Car and General (K) Ltd Ord 5.00,14-Dec-20,23.0000
British American Tobacco Kenya Ltd Ord 10.00,14-Dec-20,396.5000
Car and General (K) Ltd Ord 5.00,15-Dec-20,23.0000
British American Tobacco Kenya Ltd Ord 10.00,15-Dec-20,392.2500
Nairobi Securities Exchange,15-Dec-20,8.1800
Safaricom Ltd Ord 0.05,15-Dec-20,33.0500
Car and General (K) Ltd Ord 5.00,16-Dec-20,23.0000
Nairobi Securities Exchange,16-Dec-20,8.1800
British American Tobacco Kenya Ltd Ord 10.00,16-Dec-20,390.2500
Safaricom Ltd Ord 0.05,16-Dec-20,32.8000
Nairobi Securities Exchange,17-Dec-20,7.8800
British American Tobacco Kenya Ltd Ord 10.00,17-Dec-20,390.0000
Safaricom Ltd Ord 0.05,17-Dec-20,32.9000
Car and General (K) Ltd Ord 5.00,17-Dec-20,23.0000
Nairobi Securities Exchange,18-Dec-20,7.9200
Car and General (K) Ltd Ord 5.00,18-Dec-20,25.0000
British American Tobacco Kenya Ltd Ord 10.00,18-Dec-20,390.0000
Safaricom Ltd Ord 0.05,18-Dec-20,33.5500
Safaricom Ltd Ord 0.05,22-Dec-20,33.8500
Car and General (K) Ltd Ord 5.00,22-Dec-20,22.5000
Nairobi Securities Exchange,22-Dec-20,8.1400
British American Tobacco Kenya Ltd Ord 10.00,22-Dec-20,390.0000
Safaricom Ltd Ord 0.05,24-Dec-20,34.0000
Car and General (K) Ltd Ord 5.00,24-Dec-20,22.0000
Nairobi Securities Exchange,24-Dec-20,8.2600
British American Tobacco Kenya Ltd Ord 10.00,24-Dec-20,385.0000
Car and General (K) Ltd Ord 5.00,28-Dec-20,22.0000
British American Tobacco Kenya Ltd Ord 10.00,28-Dec-20,389.5000
Nairobi Securities Exchange,28-Dec-20,8.2400
Safaricom Ltd Ord 0.05,28-Dec-20,34.1000
British American Tobacco Kenya Ltd Ord 10.00,31-Dec-20,361.0000
Car and General (K) Ltd Ord 5.00,31-Dec-20,22.0000
Safaricom Ltd Ord 0.05,31-Dec-20,34.2500
Nairobi Securities Exchange,31-Dec-20,8.1600
Nairobi Securities Exchange,04-Jan-21,8.3000
Car and General (K) Ltd Ord 5.00,04-Jan-21,22.0000
British American Tobacco Kenya Ltd Ord 10.00,04-Jan-21,361.0000
Safaricom Ltd Ord 0.05,04-Jan-21,34.2500
Car and General (K) Ltd Ord 5.00,05-Jan-21,22.5000
Nairobi Securities Exchange,05-Jan-21,8.4000
British American Tobacco Kenya Ltd Ord 10.00,05-Jan-21,385.0000
Safaricom Ltd Ord 0.05,05-Jan-21,34.4000
British American Tobacco Kenya Ltd Ord 10.00,06-Jan-21,385.0000
Safaricom Ltd Ord 0.05,06-Jan-21,35.0000
Nairobi Securities Exchange,06-Jan-21,8.3800
Car and General (K) Ltd Ord 5.00,06-Jan-21,24.0000
Nairobi Securities Exchange,07-Jan-21,8.3800
British American Tobacco Kenya Ltd Ord 10.00,07-Jan-21,390.0000
Car and General (K) Ltd Ord 5.00,07-Jan-21,24.0000
Safaricom Ltd Ord 0.05,07-Jan-21,34.9500
Car and General (K) Ltd Ord 5.00,08-Jan-21,24.0000
Nairobi Securities Exchange,08-Jan-21,8.3400
British American Tobacco Kenya Ltd Ord 10.00,08-Jan-21,391.5000
Safaricom Ltd Ord 0.05,08-Jan-21,35.0000
Safaricom Ltd Ord 0.05,11-Jan-21,34.9500
Nairobi Securities Exchange,11-Jan-21,8.2400
British American Tobacco Kenya Ltd Ord 10.00,11-Jan-21,390.0000
Car and General (K) Ltd Ord 5.00,11-Jan-21,24.0000
Nairobi Securities Exchange,12-Jan-21,8.4800
British American Tobacco Kenya Ltd Ord 10.00,12-Jan-21,388.7500
Safaricom Ltd Ord 0.05,12-Jan-21,34.9000
Car and General (K) Ltd Ord 5.00,12-Jan-21,24.0000
Car and General (K) Ltd Ord 5.00,13-Jan-21,24.0000
Nairobi Securities Exchange,13-Jan-21,8.5000
British American Tobacco Kenya Ltd Ord 10.00,13-Jan-21,385.7500
Safaricom Ltd Ord 0.05,13-Jan-21,35.1000
Nairobi Securities Exchange,14-Jan-21,8.1400
British American Tobacco Kenya Ltd Ord 10.00,14-Jan-21,390.0000
Safaricom Ltd Ord 0.05,14-Jan-21,36.5000
Car and General (K) Ltd Ord 5.00,14-Jan-21,24.0000
Car and General (K) Ltd Ord 5.00,15-Jan-21,24.0000
British American Tobacco Kenya Ltd Ord 10.00,15-Jan-21,389.5000
Safaricom Ltd Ord 0.05,15-Jan-21,36.5500
Nairobi Securities Exchange,15-Jan-21,8.5000
Nairobi Securities Exchange,18-Jan-21,8.5000
